bamfile,gc_content
sorted_I_12hrsS1.bam,47.53
sorted_I_12hrsS3.bam,47.26
sorted_I_24hrsS1.bam,47.09
sorted_I_24hrsS2.bam,47.59
sorted_I_24hrsS3.bam,47.23
sorted_I_4hrsS1.bam,48.66
sorted_I_4hrsS2.bam,47.25
sorted_I_4hrsS3.bam,48.49
sorted_I_72hrsS1.bam,47.04
sorted_I_72hrsS2.bam,46.89
sorted_I_72hrsS3.bam,52.52
sorted_U_12hrsN1.bam,47.87
sorted_U_12hrsN2.bam,47.74
sorted_U_24hrsN1.bam,47.42
sorted_U_24hrsN2.bam,47.28
sorted_U_4hrsN1.bam,47.48
sorted_U_4hrsN2.bam,59.80
sorted_U_72hrsN1.bam,57.42
sorted_U_72hrsN2.bam,47.55
